Model,Run,Best Val Exact (%),Best Val Tol (±1) (%),Final Train Exact (%),Final Val Exact (%),"Overfit Gap (Train-Val, pp)",Final Train Loss,Final Val Loss,Epochs,Checkpoint
MobileNet,Baseline (CE),64.65298142717498,87.21407624633432,66.25598904859686,64.65298142717498,1.6030076214218814,0.9140262694533438,1.0328963809646665,6,C:/Users/Swarup/Downloads/embryo_dataset/outputs/MobileNet_Baseline_CE.pth
MobileNet,Hybrid (50/50 CE+MSE),63.40175953079179,87.25317693059628,65.12662559890487,63.40175953079179,1.7248660681130734,0.8634775084310162,1.0415112687740475,9,C:/Users/Swarup/Downloads/embryo_dataset/outputs/MobileNet_Hybrid_MSE.pth
GoogLeNet,Baseline (CE),60.078201368523956,85.20039100684262,63.15451745379876,60.078201368523956,3.0763160852748106,1.0448751438365742,1.1379899236373603,10,C:/Users/Swarup/Downloads/embryo_dataset/outputs/GoogLeNet_Baseline_CE.pth
GoogLeNet,Hybrid (50/50 CE+MSE),54.7605083088954,80.07820136852395,53.46081451060917,54.7605083088954,-1.2996937982862389,1.6964408016057964,1.4548557736910879,10,C:/Users/Swarup/Downloads/embryo_dataset/outputs/GoogLeNet_Hybrid_MSE.pth
InceptionV3,Baseline (CE),66.99902248289345,89.42326490713587,67.44952087611226,66.99902248289345,0.45049839321880114,0.8905233132928957,0.9918584694387391,6,C:/Users/Swarup/Downloads/embryo_dataset/outputs/InceptionV3_Baseline_CE.pth
InceptionV3,Hybrid (50/50 CE+MSE),63.597262952101666,87.60508308895406,63.74486652977412,63.597262952101666,0.14760357767246157,1.0095419433327426,1.0303719411371275,8,C:/Users/Swarup/Downloads/embryo_dataset/outputs/InceptionV3_Hybrid_MSE.pth
VGG16,Baseline (CE),28.660801564027373,47.35092864125122,26.150752908966464,28.660801564027373,-2.510048655060909,2.272852609208151,2.187313624471426,10,C:/Users/Swarup/Downloads/embryo_dataset/outputs/VGG16_Baseline_CE.pth
VGG16,Hybrid (50/50 CE+MSE),26.099706744868033,46.45161290322581,23.921971252566735,25.78690127077224,-1.8649300182055044,7.904835306235489,6.559151091054082,10,C:/Users/Swarup/Downloads/embryo_dataset/outputs/VGG16_Hybrid_MSE.pth
VGG19,Baseline (CE),49.9902248289345,73.72434017595307,48.93480492813141,49.9902248289345,-1.0554199008030896,1.466276555539483,1.445819176454097,7,C:/Users/Swarup/Downloads/embryo_dataset/outputs/VGG19_Baseline_CE.pth
VGG19,Hybrid (50/50 CE+MSE),49.24731182795699,72.25806451612902,47.23648186173853,49.16911045943304,-1.932628597694508,2.0904904723085824,2.0456145318225025,7,C:/Users/Swarup/Downloads/embryo_dataset/outputs/VGG19_Hybrid_MSE.pth
